940.0,269.38,0.8025,1.0,274.52,11.72,274.77,0.658,-44.208,0.1641
950.0,268.93,0.8012,1.0,277.21,11.79,277.46,0.657,-44.006,0.1636
960.0,268.5,0.7999,1.0,279.9,11.86,280.15,0.656,-43.738,0.1629
970.0,268.08,0.7987,1.0,282.58,11.93,282.83,0.647,-43.047,0.1606
980.0,267.66,0.7974,1.0,285.26,11.99,285.51,0.629,-41.718,0.1559
990.0,267.24,0.7962,1.0,287.93,12.06,288.18,0.609,-40.292,0.1508
1000.0,266.84,0.795,1.0,290.6,12.12,290.85,0.602,-39.707,0.1488
1010.0,266.44,0.7938,1.0,293.27,12.18,293.52,0.593,-38.965,0.1463
1020.0,266.05,0.7927,1.1,295.93,12.25,296.18,0.588,-38.523,0.1448
1030.0,265.66,0.7915,1.1,298.59,12.31,298.84,0.586,-38.312,0.1442
1040.0,265.27,0.7903,1.1,301.24,12.37,301.5,0.597,-38.883,0.1466
1050.0,264.88,0.7892,1.1,303.89,12.43,304.15,0.612,-39.733,0.15
1060.0,264.48,0.788,1.1,306.54,12.48,306.79,0.617,-39.935,0.151
1070.0,264.07,0.7868,1.1,309.18,12.54,309.44,0.622,-40.115,0.1519
1080.0,263.67,0.7856,1.1,311.82,12.6,312.07,0.634,-40.763,0.1546
1090.0,263.27,0.7844,1.1,314.45,12.65,314.71,0.642,-41.156,0.1563
1100.0,262.87,0.7832,1.1,317.09,12.7,317.34,0.64,-40.892,0.1556
1110.0,262.45,0.782,1.2,319.71,12.76,319.97,0.635,-40.497,0.1543
1120.0,262.05,0.7808,1.2,322.33,12.81,322.59,0.631,-40.096,0.153
1130.0,261.66,0.7796,1.2,324.95,12.86,325.21,0.612,-38.763,0.1481
1140.0,261.29,0.7785,1.2,327.57,12.91,327.82,0.597,-37.733,0.1444
1150.0,260.91,0.7774,1.2,330.18,12.95,330.43,0.584,-36.778,0.141
1160.0,260.54,0.7763,1.2,332.79,13.0,333.04,0.578,-36.299,0.1393
1170.0,260.17,0.7752,1.2,335.39,13.05,335.64,0.573,-35.883,0.1379
1180.0,259.81,0.7741,1.2,337.99,13.09,338.24,0.566,-35.346,0.136
1190.0,259.45,0.773,1.3,340.59,13.13,340.84,0.567,-35.352,0.1363
1200.0,259.09,0.772,1.3,343.18,13.18,343.43,0.579,-35.997,0.1389
1210.0,258.73,0.7709,1.3,345.77,13.22,346.02,0.586,-36.325,0.1404
1220.0,258.38,0.7699,1.3,348.35,13.26,348.61,0.587,-36.245,0.1403
1230.0,258.01,0.7688,1.3,350.94,13.3,351.19,0.585,-36.029,0.1396
1240.0,257.65,0.7677,1.3,353.52,13.34,353.77,0.587,-36.07,0.14
1250.0,257.29,0.7666,1.3,356.09,13.38,356.34,0.589,-36.072,0.1402
1260.0,256.94,0.7656,1.3,358.66,13.41,358.91,0.579,-35.375,0.1377
1270.0,256.58,0.7645,1.4,361.23,13.45,361.48,0.572,-34.855,0.1358
1280.0,256.23,0.7635,1.4,363.8,13.48,364.05,0.573,-34.835,0.136
1290.0,255.88,0.7625,1.4,366.36,13.52,366.61,0.578,-35.018,0.1369
1300.0,255.54,0.7614,1.4,368.91,13.55,369.16,0.571,-34.488,0.135
1310.0,255.2,0.7604,1.4,371.47,13.58,371.72,0.56,-33.76,0.1323
1320.0,254.86,0.7594,1.4,374.02,13.61,374.27,0.561,-33.704,0.1323
1330.0,254.53,0.7584,1.4,376.57,13.64,376.81,0.555,-33.287,0.1308
1340.0,254.2,0.7575,1.4,379.11,13.67,379.36,0.547,-32.681,0.1286
1350.0,253.87,0.7565,1.5,381.65,13.7,381.9,0.539,-32.146,0.1266
1360.0,253.55,0.7555,1.5,384.19,13.72,384.43,0.537,-31.913,0.1259
1370.0,253.23,0.7546,1.5,386.72,13.75,386.97,0.538,-31.891,0.1259
1380.0,252.92,0.7537,1.5,389.26,13.77,389.5,0.533,-31.518,0.1246
1390.0,252.6,0.7527,1.5,391.78,13.79,392.03,0.535,-31.561,0.125
1400.0,252.28,0.7518,1.5,394.31,13.82,394.55,0.533,-31.361,0.1243
1410.0,251.97,0.7508,1.5,396.83,13.84,397.07,0.542,-31.839,0.1264
1420.0,251.65,0.7499,1.5,399.35,13.86,399.59,0.541,-31.671,0.1259
1430.0,251.34,0.749,1.6,401.87,13.88,402.11,0.533,-31.14,0.1239
1440.0,251.02,0.748,1.6,404.38,13.9,404.62,0.544,-31.712,0.1263
1450.0,250.71,0.7471,1.6,406.89,13.91,407.13,0.546,-31.758,0.1267
1460.0,250.4,0.7462,1.6,409.39,13.93,409.63,0.547,-31.69,0.1266
1470.0,250.08,0.7452,1.6,411.9,13.94,412.13,0.544,-31.447,0.1258
1480.0,249.76,0.7443,1.6,414.4,13.96,414.63,0.546,-31.49,0.1261
1490.0,249.45,0.7434,1.6,416.9,13.97,417.13,0.546,-31.424,0.126
1500.0,249.14,0.7425,1.6,419.39,13.98,419.62,0.545,-31.296,0.1256
1510.0,248.83,0.7415,1.7,421.88,14.0,422.11,0.544,-31.112,0.125
1520.0,248.51,0.7406,1.7,424.37,14.01,424.6,0.539,-30.768,0.1238
1530.0,248.21,0.7397,1.7,426.85,14.02,427.08,0.544,-30.984,0.1248
1540.0,247.9,0.7388,1.7,429.33,14.02,429.56,0.537,-30.476,0.1229
1550.0,247.6,0.7379,1.7,431.81,14.03,432.04,0.525,-29.737,0.1201
